school_id,school_nm
400010,ACE TECHNICAL CHTR HS
400011,"LOCKE, A CHTR"
400013,ASPIRA CHTR - EARLY COLLEGE HS
400017,ASPIRA CHTR - HAUGAN
400021,CATALYST CHTR - CIRCLE ROCK
400024,CICS - BASIL
400026,CICS - LOOMIS
400027,CICS - IRVING PARK
400028,CICS - PRAIRIE
400029,CICS - WASHINGTON PARK
400030,CICS - WEST BELDEN
400032,CICS - ELLISON
400033,CICS - LONGWOOD
400035,CHGO MATH & SCI ACAD CAMPUS HS
400036,CHICAGO VIRTUAL CHTR CAMPUS HS
400039,ERIE CHTR CAMPUS
400040,FRAZIER CHTR
400043,HOPE CONTR ES
400044,KIPP ASCEND CHTR CAMPUS
400045,NKRUMAH CONTR
400046,LEARN CHTR - BUTLER
400047,LEARN CHTR - CAMPBELL
400048,LEARN CHTR - EXCEL
400049,LEGACY CHTR CAMPUS
400051,NOBLE STREET CHTR - NOBLE
400053,NOBLE STREET CHTR - GOLDER
400054,NOBLE STREET CHTR - PRITZKER
400055,NOBLE STREET CHTR - RAUNER
400056,NOBLE STREET CHTR - ROWE CLARK
400058,NTH LAWNDALE CHTR - CHRISTIANA
400059,NTH LAWNDALE CHTR - COLLINS
400061,PERSPECTIVES CHTR - LEADERSHIP ACADEMY
400062,PERSPECTIVES CHTR - CALUMET TECH
400064,PERSPECTIVES CHTR - JOSLIN
400066,PERSPECTIVES CHTR - IIT
400068,PLATO CONTR
400069,POLARIS CHTR CAMPUS
400071,PROVIDENCE CHTR - BUNCHE
400075,UNIV OF CHGO CHTR - DONOGHUE
400076,UNIV OF CHGO CHTR - NKO
400077,UNIV OF CHGO CHTR - WOODLAWN
400078,UNIV OF CHGO CHTR - WOODSON
400081,UNO CHTR - DE LAS CASAS
400083,UNO CHTR - PAZ
400086,URBAN PREP CHTR - ENGLEWOOD
400087,YNG WOMEN - CHTR CAMPUS
400091,CHICAGO TECH ACADEMY
400092,CICS - LLOYD BOND
400094,EPIC CHTR HS
400096,ROWE
400097,NOBLE STREET CHTR - CHGO BULLS
400101,UNO CHTR  - SANDRA CISNEROS
400102,URBAN PREP CHTR - WEST
400106,NOBLE STREET CHTR - JOHNSON
400107,LEARN CHRT - SO CHICAGO
400111,LEARN CHTR - HUNTER PERKINS
400113,CHICAGO QUEST NORTH
400114,UNO CHTR - ST MARKS
400115,CATALYST CHTR - MARIA
400116,MONTESSORI CHTR - ENGLEWOOD
400117,NOBLE STREET CHTR - SILVER HS
