school_id,school_nm,grades,sch_type,x,y,year
400149,UNO CHTR - SOCCER ACADEMY,"6, 7, 8, 9",Charter,-87.7110616592,41.801762074,2013
610565,CAMELOT - EXCEL ACADEMY OF ENGLEWOOD,"9, 10",Alternative/Contract,-87.6491609924,41.763895422,2013
610566,BRIDGESCAPE ACADEMY OF NORTH LAWNDALE,"9, 10, 11, 12",Alternative/District,-87.7066031329,41.8664504126,2013
610567,BRIDGESCAPE ACADEMY OF SOUTH SHORE,,Alternative/District,-87.5858670775,41.7668209823,2013
610568,PATHWAYS EDUCATION HS - AVONDALE,,Alternative/District,-87.7052061098,41.9394057685,2013
610569,OMBUDSMAN 1 HS,,Alternative/District,-87.7037605868,41.7790182323,2013
610570,OMBUDSMAN 2 HS,,Alternative/District,-87.8066449735,42.017171092,2013
610571,OMBUDSMAN 3 HS,,Alternative/District,-87.6598817718,41.9741306201,2013
610572,CAMELOT - SAFE SCHOOL PROGRAM ES,,Alternative/District,-87.5509190894,41.7526698702,2013
610573,CAMELOT - SAFE SCHOOL PROGRAM HS,,Alternative/District,-87.5509190894,41.7526698702,2013
610574,"MANDELA, W",,Alternative/District,-87.5759196737,41.7520153168,2013
400009,GLOBAL CITIZENSHIP CHTR,"K, 1, 2, 3, 4, 5, 6",Charter,-87.7400981233,41.807605945,2013
400010,ACE TECHNICAL CHTR HS,"9, 10, 11, 12",Charter,-87.6258123713,41.7961219993,2013
400011,"LOCKE, A CHTR","PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7052350037,41.8772757921,2013
400012,AMANDLA CHTR HS,"5, 6, 7, 8, 9, 10",Charter,-87.6352295469,41.7707911327,2013
400013,ASPIRA CHTR - EARLY COLLEGE HS,"9, 10, 11, 12",Charter,-87.7268360203,41.937326835,2013
400015,ASPIRA CHTR - RAMIREZ HS,"11, 12",Charter,-87.6969781149,41.9125048321,2013
400017,ASPIRA CHTR - HAUGAN,"6, 7, 8",Charter,-87.7218252123,41.9664331061,2013
400018,AUSTIN BUS & ENTRP HS,"9, 10, 11, 12","District, non-alternative",-87.763285586,41.8852126907,2013
400019,BRONZEVILLE LTHOUSE CHTR CAMPUS,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6266211793,41.8192491739,2013
400020,CATALYST CHTR - HOWLAND,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7079522423,41.8585191308,2013
400021,CATALYST CHTR - CIRCLE ROCK,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7653213752,41.8822947837,2013
400022,CHGO ARTS CONTR HS,"9, 10, 11, 12",Contract,-87.6136286798,41.831144973,2013
400023,CICS - AVALON /SO SHORE,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.5879281628,41.7432068601,2013
400024,CICS - BASIL,"K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6702422406,41.7940154237,2013
