school_id,school_nm,school_lat,school_long
400009,GLOBAL CITIZENSHIP CHTR,41.807605945,-87.7400981233
400010,ACE TECHNICAL CHTR HS,41.7961219993,-87.6258123713
400011,"LOCKE, A CHTR",41.8772757921,-87.7052350037
400012,AMANDLA CHTR HS,41.7707911327,-87.6352295469
400013,ASPIRA CHTR - EARLY COLLEGE HS,41.937326835,-87.7268360203
400015,ASPIRA CHTR - RAMIREZ HS,41.9125048321,-87.6969781149
400017,ASPIRA CHTR - HAUGAN,41.9664331061,-87.7218252123
400018,AUSTIN BUS & ENTRP HS,41.8852126907,-87.763285586
400019,BRONZEVILLE LTHOUSE CHTR CAMPUS,41.8192491739,-87.6266211793
400020,CATALYST CHTR - HOWLAND,41.8585191308,-87.7079522423
400021,CATALYST CHTR - CIRCLE ROCK,41.8822947837,-87.7653213752
400022,CHGO ARTS CONTR HS,41.831144973,-87.6136286798
400023,CICS - AVALON /SO SHORE,41.7432068601,-87.5879281628
400024,CICS - BASIL,41.7940154237,-87.6702422406
400025,CICS - BUCKTOWN,41.9224139084,-87.6813946958
400026,CICS - LOOMIS,41.7202458543,-87.65759768
400027,CICS - IRVING PARK,41.9508918586,-87.7104556767
400028,CICS - PRAIRIE,41.6844332328,-87.616851775
400029,CICS - WASHINGTON PARK,41.7836163451,-87.6221051133
400030,CICS - WEST BELDEN,41.9216867615,-87.7767852699
400031,CICS - WRIGHTWOOD,41.7453659877,-87.6925777628
400032,CICS - ELLISON,41.7484098476,-87.6689802314
400033,CICS - LONGWOOD,41.7212488719,-87.6557687544
400034,CICS - NORTHTOWN,41.9902175745,-87.7265036635
400035,CHGO MATH & SCI ACAD CAMPUS HS,42.0130346122,-87.6747818606
400036,CHICAGO VIRTUAL CHTR CAMPUS HS,41.8805508693,-87.6497357785
400038,COMMUNITY SERVICES WEST,41.8649516199,-87.7250587224
400039,ERIE CHTR CAMPUS,41.9067715449,-87.6944011601
400040,FRAZIER CHTR,41.8670136517,-87.7263136992
400041,GALAPAGOS CHTR CAMPUS,41.8972855851,-87.7219585893
400042,FORD CHTR HS,41.8693119931,-87.7105633261
400043,HOPE CONTR ES,41.8833345926,-87.6680761082
400044,KIPP ASCEND CHTR CAMPUS,41.8583871239,-87.7212629723
400045,NKRUMAH CONTR,41.69801305,-87.6310575134
400046,LEARN CHTR - BUTLER,41.8672735104,-87.7106427824
400047,LEARN CHTR - CAMPBELL,41.8778611254,-87.6987020082
400048,LEARN CHTR - EXCEL,41.87494036,-87.6862898817
400049,LEGACY CHTR CAMPUS,41.8569071431,-87.7304697444
400050,NAMASTE CHTR CAMPUS,41.8256990471,-87.6677607184
400051,NOBLE STREET CHTR - NOBLE,41.9001910326,-87.6625910578
400052,NOBLE STREET CHTR - COMER,41.7652544247,-87.6045981284
400053,NOBLE STREET CHTR - GOLDER,41.8952547584,-87.6644822349
400054,NOBLE STREET CHTR - PRITZKER,41.9152415495,-87.7301268308
400055,NOBLE STREET CHTR - RAUNER,41.8924524492,-87.6608595533
400056,NOBLE STREET CHTR - ROWE CLARK,41.8953896979,-87.7180472995
400057,NOBLE STREET CHTR - UIC,41.8658167128,-87.6761476293
400058,NTH LAWNDALE CHTR - CHRISTIANA,41.8585191308,-87.7079522423
400059,NTH LAWNDALE CHTR - COLLINS,41.8641432818,-87.7020776088
400060,ASIAN HUMAN SERVICES CHTR - PASSAGES,41.9833988719,-87.6711611724
400061,PERSPECTIVES CHTR - LEADERSHIP ACADEMY,41.7459346284,-87.652328137
400062,PERSPECTIVES CHTR - CALUMET TECH,41.7459346284,-87.652328137
400064,PERSPECTIVES CHTR - JOSLIN,41.8559760522,-87.628510989
400066,PERSPECTIVES CHTR - IIT,41.8277834131,-87.6248244058
400068,PLATO CONTR,41.8727878671,-87.7633375329
400069,POLARIS CHTR CAMPUS,41.8925508279,-87.7077597569
400070,PROLOGUE HS,41.9028970914,-87.6637407341
400071,PROVIDENCE CHTR - BUNCHE,41.7753667505,-87.6640324796
400072,SHABAZZ CHTR - SHABAZZ,41.7524580408,-87.6002911949
400073,SHABAZZ CHTR - DUSABLE,41.8045587818,-87.6244105618
400074,SHABAZZ CHTR - SIZEMORE,41.7673906771,-87.6676023602
400075,UNIV OF CHGO CHTR - DONOGHUE,41.8277515953,-87.6085142903
400076,UNIV OF CHGO CHTR - NKO,41.8113891194,-87.5985199021
400077,UNIV OF CHGO CHTR - WOODLAWN,41.7781185054,-87.5980804453
400078,UNIV OF CHGO CHTR - WOODSON,41.8136148354,-87.6083625326
400079,UNO CHTR - SPC DANIEL ZIZUMBO,41.8078400696,-87.7303591387
400080,UNO CHTR - PFC OMAR E.TORRES,41.8078400696,-87.7303591387
400081,UNO CHTR - DE LAS CASAS,41.8595314471,-87.6679497475
400082,UNO CHTR - FUENTES,41.9375032181,-87.6995937796
400083,UNO CHTR - PAZ,41.8500628499,-87.6925516063
400084,UNO CHTR - TAMAYO,41.7999296462,-87.6938983024
400085,UNO CHTR - MAJOR HECTOR P.GARCIA,41.8078400696,-87.7303591387
400086,URBAN PREP CHTR - ENGLEWOOD,41.7815051905,-87.6350153382
400087,YNG WOMEN - CHTR CAMPUS,41.8445432742,-87.6187604879
400089,UNO CHTR - MARQUEZ,41.8082813887,-87.6973933329
400091,CHICAGO TECH ACADEMY,41.8633288362,-87.6590960187
400092,CICS - LLOYD BOND,41.6536675752,-87.605002927
400093,CHGO TALENT CHTR HS,41.8775287345,-87.6832489544
400094,EPIC CHTR HS,41.7448481839,-87.5502589916
400096,ROWE,41.9077977718,-87.6640357408
400097,NOBLE STREET CHTR - CHGO BULLS,41.8787813727,-87.6781944858
400098,NOBLE STREET CHTR - MUCHIN,41.8820856512,-87.6277411123
400101,UNO CHTR  - SANDRA CISNEROS,41.822856316,-87.693994895
400102,URBAN PREP CHTR - WEST,41.8625125845,-87.6601057199
400104,INSTITUTO ACAD CHTR HEALTH,41.8459653309,-87.6855472198
400105,URBAN PREP CHTR - BRONZEVILLE,41.8440435794,-87.6285167495
400106,NOBLE STREET CHTR - JOHNSON,41.7783700534,-87.6350800439
400107,LEARN CHRT - SO CHICAGO,41.7333296562,-87.544441817
400108,CICS - HAWKINS,41.6531668985,-87.601885601
400109,PROLOGUE-JOHNSTON CHTR HS,41.7211638931,-87.6624163139
400111,LEARN CHTR - HUNTER PERKINS,41.7430943325,-87.6657204357
400112,UNO CHTR - 51ST - HOMAN,41.8010433907,-87.708760133
400113,CHICAGO QUEST NORTH,41.9078097085,-87.6455939145
400114,UNO CHTR - ST MARKS,41.9003161974,-87.6898950625
400115,CATALYST CHTR - MARIA,41.7709914514,-87.6931119777
400116,MONTESSORI CHTR - ENGLEWOOD,41.7741643486,-87.6750599481
400117,NOBLE STREET CHTR - SILVER HS,41.7344423065,-87.650950103
400118,NOBLE STREET CHTR - PURPLE,41.8693119931,-87.7105633261
400119,LEGAL PREP CHTR - ACADEMY,41.881892993,-87.7338528676
400120,UNO CHTR - NEAR WEST,41.9179521229,-87.7877937008
400121,UNO CHTR - NORTHSIDE,42.0164781781,-87.684369013
400123,YCCS CHTR - COMMUNITY SERVICE,41.8804746269,-87.7425394307
400124,YCCS CHTR - MCKINLEY,41.8413316907,-87.6252940796
400125,YCCS CHTR - ASPIRA PANTOJA,41.93791667,-87.7270766433
400126,YCCS CHTR - ASSOCIATION HOUSE,41.901573077,-87.706823162
400127,YCCS CHTR - AUSTIN CAREER,41.8949489515,-87.7602207289
400128,YCCS CHTR - CCA ACADEMY,41.8651973415,-87.7250663893
400129,YCCS CHTR - HOUSTON,41.8093305545,-87.6165139711
400130,YCCS CHTR - YOUTH DEVELOPMENT,41.7513776107,-87.6416945466
400131,YCCS CHTR - CAMPOS,41.9028771381,-87.6960063538
400133,YCCS CHTR - INNOVATIONS,41.8118176351,-87.6319908756
400134,YCCS CHTR - ADDAMS,41.8572081061,-87.6448512709
400135,YCCS CHTR - LATINO YOUTH,41.8546639314,-87.6954667067
400136,YCCS CHTR - OLIVE HARVEY,41.7129281787,-87.5923689168
400137,LITTLE BLACK PEARL,41.8096680575,-87.599339394
400139,YCCS CHTR - SULLIVAN,41.7463063441,-87.5784662626
400141,YCCS CHTR - TRUMAN,41.9653222405,-87.6592405988
400142,YCCS CHTR - VIRTUAL,41.8762892937,-87.6741375552
400143,YCCS CHTR - WEST TOWN,41.8908064654,-87.7020163485
400144,YCCS CHTR - WESTSIDE HOLISTIC,41.9022674733,-87.7488106944
400145,YCCS CHTR - COMMUNITY ACADEMY,41.8320716351,-87.6267447823
400146,KIPP CREATE,41.8922020005,-87.7472156799
400147,CHICAGO EXCEL CONTR ACAD,41.6921576421,-87.6544645334
400148,INSTITUTO JUSTICE CHTR ACAD,41.8454216196,-87.6840481341
400149,UNO CHTR - SOCCER ACADEMY,41.801762074,-87.7110616592
400150,YCCS CHTR - CHATHAM,41.7301309334,-87.6070165368
400151,LEARN CHTR - 7,41.8875163602,-87.7021658512
400153,UNO CHTR - IMMACULATE CONCEPTION,41.8131100189,-87.6932017107
400156,NOBLE STREET CHTR - PULLMAN COLLEGE PREP,41.7074460753,-87.6030643541
400157,NOBLE STREET CHTR - BAKER COLLEGE PREP,41.7337060939,-87.5577592347
400159,CHRISTOPHER HOUSE CHTR SCHOOL,41.922208595,-87.7575220524
400161,CHICAGO COLLEGIATE CHTR SCHOOL,41.6793190031,-87.6179312732
400162,INTRINSIC SCHOOLS,41.8824467607,-87.6277730486
400163,KIPP BLOOM CHTR CAMPUS,41.7935651922,-87.641418583
400164,LOZANO LEADERSHIP ACADEMY - MASTERY CAMPUS,41.8459653309,-87.6855472198
400165,LEARN CHTR - MIDDLE,41.8875163602,-87.7021658512
400167,HSA CHTR - SW CHICAGO,41.7952009535,-87.6839633929
400168,GREAT LAKES CHTR,41.7426713822,-87.559906902
400169,NOBLE CHTR - ITW DAVID SPEER,41.9256302718,-87.7698077738
400170,NOBLE CHTR - ACADEMY,41.8821524844,-87.6277425267
400171,FOUNDATIONS CHTR,41.6957785775,-87.6535521889
400172,ASPIRA - BUSINESS & FINANCE HS,41.935726,-87.718204
400173,PATHWAYS IN EDUCATION - BRIGHTON PARK HS,41.8082257859,-87.7026447519
400175,EXCEL ACADEMY - WOODLAWN,41.7597486397,-87.5564870838
400176,EXCEL ACADEMY - SOUTHWEST,41.7659289211,-87.6907300914
400177,KIPP CHTR - ASCEND PRIMARY,41.861174189,-87.7092868303
400178,MOVING EVEREST,41.888259,-87.755281
400179,NOBLE - MANSUETO HS,41.8001359772,-87.7280034887
400180,KIPP ONE,41.8938050376,-87.7266148
609674,CHICAGO VOCATIONAL HS,41.7371464976,-87.5732667993
609676,DUNBAR HS,41.8402261093,-87.6176007458
609678,JONES HS,41.8730667004,-87.6276386213
609679,PROSSER HS,41.9200600623,-87.7610115827
609680,PAYTON HS,41.9015461528,-87.6344637265
609682,RICHARDS HS,41.8028808665,-87.6623145142
609691,NORTH-GRAND HS,41.9116462561,-87.7352368523
609692,SIMEON HS,41.7457867058,-87.6354462757
609693,WESTINGHOUSE HS,41.890004642,-87.7073328691
