schoolid,school_nam
609712,HIRSCH HS
609735,TILDEN HS
609709,GAGE PARK HS
609722,MANLEY HS
609723,MARSHALL HS
610389,ORR HS
610547,SOUTH SHORE INTL HS
609761,CORLISS HS
609725,MORGAN PARK HS
609707,ROBESON HS
610323,BOWEN HS
609759,CLEMENTE HS
609702,CRANE HS
609705,FENGER HS
609710,HARLAN HS
609711,HARPER HS
609713,HYDE PARK HS
610244,CLARK HS
609682,RICHARDS HS
609768,HOPE PREP HS
610385,MULTICULTURAL ACAD SCHOLARSHIP
610563,BACK OF THE YARDS HS
609704,FARRAGUT HS
609727,PHILLIPS HS
610184,SPRY ES/ SPRY HS/TELPOCHCALLI/SAUCEDO/HAMMOND
610513,AIR FORCE HS
610524,ALCOTT PREP HS
609790,BARTON
609726,BROOKS HS
609754,CHICAGO MILITARY HS
610347,CLAREMONT
609769,"GRAHAM,R HS"
609964,HAMLINE / CHAVEZ
610012,JENNER
610037,LIBBY
610391,LINDBLOM HS
609744,NORTHSIDE LEARNING HS
610116,PARKSIDE
610226,HERNANDEZ/ SANDOVAL/ SOLORIO HS
610183,SPENCER TECH ACAD
609941,RANDOLPH
610394,UPLIFT HS
610345,WOODSON
609819,BURKE
610238,BOND
609848,ALDRIDGE/CARVER/CICS-BOND/CICS-HAWKINS/DUBOIS
