year,round_distance,crime_type,school_id,treatment,avg_total_crimes,avg_school_attendance
2013,50m,BATTERY,400010,0,5,92.84
2013,200m,BATTERY,400010,0,7,92.84
2013,300m,BATTERY,400010,0,37,92.84
2013,300m+,BATTERY,400010,0,30,92.84
2013,25m,THEFT,400010,0,1,92.84
2013,50m,THEFT,400010,0,3,92.84
2013,200m,THEFT,400010,0,7,92.84
2013,300m,THEFT,400010,0,56,92.84
2013,300m+,THEFT,400010,0,77,92.84
2013,25m,BATTERY,400011,0,6,95.35
2013,100m,BATTERY,400011,0,8,95.35
2013,200m,BATTERY,400011,0,16,95.35
2013,300m,BATTERY,400011,0,54,95.35
2013,300m+,BATTERY,400011,0,61,95.35
2013,300m+,HOMICIDE,400011,0,1,95.35
2013,25m,THEFT,400011,0,3,95.35
2013,100m,THEFT,400011,0,2,95.35
2013,200m,THEFT,400011,0,15,95.35
2013,300m,THEFT,400011,0,34,95.35
2013,300m+,THEFT,400011,0,53,95.35
2013,50m,BATTERY,400013,0,4,96.05
2013,100m,BATTERY,400013,0,2,96.05
2013,200m,BATTERY,400013,0,6,96.05
2013,300m,BATTERY,400013,0,26,96.05
2013,300m+,BATTERY,400013,0,46,96.05
2013,25m,THEFT,400013,0,1,96.05
2013,50m,THEFT,400013,0,3,96.05
2013,100m,THEFT,400013,0,22,96.05
2013,200m,THEFT,400013,0,11,96.05
2013,300m,THEFT,400013,0,25,96.05
2013,300m+,THEFT,400013,0,30,96.05
2013,25m,BATTERY,400017,0,3,94.75
2013,100m,BATTERY,400017,0,2,94.75
2013,200m,BATTERY,400017,0,14,94.75
2013,300m,BATTERY,400017,0,42,94.75
2013,300m+,BATTERY,400017,0,36,94.75
2013,300m,HOMICIDE,400017,0,1,94.75
2013,25m,THEFT,400017,0,1,94.75
2013,50m,THEFT,400017,0,1,94.75
2013,100m,THEFT,400017,0,2,94.75
2013,200m,THEFT,400017,0,6,94.75
2013,300m,THEFT,400017,0,24,94.75
2013,300m+,THEFT,400017,0,16,94.75
2013,100m,BATTERY,400021,0,11,96.25
2013,200m,BATTERY,400021,0,76,96.25
2013,300m,BATTERY,400021,0,85,96.25
2013,300m+,BATTERY,400021,0,114,96.25
2013,200m,HOMICIDE,400021,0,1,96.25
2013,300m,HOMICIDE,400021,0,1,96.25
2013,25m,THEFT,400021,0,1,96.25
2013,100m,THEFT,400021,0,5,96.25
2013,200m,THEFT,400021,0,48,96.25
2013,300m,THEFT,400021,0,50,96.25
2013,300m+,THEFT,400021,0,64,96.25
2013,25m,BATTERY,400024,0,1,94.05
2013,50m,BATTERY,400024,0,3,94.05
2013,100m,BATTERY,400024,0,9,94.05
2013,200m,BATTERY,400024,0,18,94.05
2013,300m,BATTERY,400024,0,39,94.05
2013,300m+,BATTERY,400024,0,88,94.05
2013,100m,HOMICIDE,400024,0,1,94.05
2013,300m+,HOMICIDE,400024,0,3,94.05
2013,100m,THEFT,400024,0,4,94.05
2013,200m,THEFT,400024,0,21,94.05
2013,300m,THEFT,400024,0,31,94.05
2013,300m+,THEFT,400024,0,57,94.05
2013,25m,BATTERY,400026,0,3,NA
2013,100m,BATTERY,400026,0,1,NA
2013,200m,BATTERY,400026,0,24,NA
2013,300m,BATTERY,400026,0,13,NA
2013,300m+,BATTERY,400026,0,33,NA
2013,300m+,HOMICIDE,400026,0,1,NA
2013,25m,THEFT,400026,0,1,NA
2013,100m,THEFT,400026,0,2,NA
2013,200m,THEFT,400026,0,22,NA
2013,300m,THEFT,400026,0,15,NA
2013,300m+,THEFT,400026,0,37,NA
2013,50m,BATTERY,400027,0,1,95.35
2013,200m,BATTERY,400027,0,5,95.35
2013,300m,BATTERY,400027,0,13,95.35
