id,primary_type,community_area,year,latitude,longitude
10156667,HOMICIDE,32,2015,41.88693095,-87.63018934
10164471,HOMICIDE,15,2015,41.944279991,-87.766698991
10222837,HOMICIDE,77,2015,41.9862963,-87.655281972
10372192,HOMICIDE,68,2015,41.764656108,-87.650461977
10569766,HOMICIDE,38,2016,41.818315006,-87.625507325
10586888,HOMICIDE,58,2016,41.81327948,-87.69435751
10681545,HOMICIDE,19,2016,41.936776176,-87.746804611
10826397,HOMICIDE,59,2017,41.830282091,-87.684890583
10836558,HOMICIDE,29,2017,41.864137869,-87.705602815
10740595,HOMICIDE,22,2016,41.928418844,-87.687767302
11196916,HOMICIDE,5,2018,41.946823083,-87.681718565
11243655,HOMICIDE,67,2018,41.786669148,-87.670795242
11265589,HOMICIDE,29,2018,41.847032912,-87.73438296
11273288,HOMICIDE,35,2018,41.824602821,-87.621622402
11286359,HOMICIDE,2,2018,41.997400551,-87.708702095
11177987,HOMICIDE,23,2017,41.899050162,-87.722906967
11314814,HOMICIDE,51,2018,41.722347855,-87.584505639
11382488,HOMICIDE,19,2018,41.924087397,-87.757753616
11455888,HOMICIDE,13,2018,41.997341964,-87.712065116
11457673,HOMICIDE,77,2018,41.982818711,-87.655164396
11507837,HOMICIDE,69,2018,41.765162688,-87.624896894
10047709,HOMICIDE,44,2015,41.735752519,-87.625429032
11253846,HOMICIDE,68,2018,41.768866386,-87.642744939
10097071,HOMICIDE,67,2015,41.777198547,-87.664157893
9410898,HOMICIDE,25,2013,41.898663187,-87.747127791
9665064,HOMICIDE,28,2014,41.875132303,-87.670605724
9899714,HOMICIDE,63,2014,41.7968963,-87.684112371
11228553,HOMICIDE,58,2018,41.823997468,-87.694643524
10985734,HOMICIDE,24,2017,41.903168813,-87.678492886
21955,HOMICIDE,73,2015,41.727527094,-87.662827263
23547,HOMICIDE,68,2017,41.786499587,-87.649815884
24031,HOMICIDE,26,2018,41.886926776,-87.731876755
23687,HOMICIDE,46,2017,41.747170267,-87.561306822
23449,HOMICIDE,52,2017,41.719516953,-87.537330752
26519,HOMICIDE,43,2016,41.760562287,-87.58914889
20945,HOMICIDE,43,2013,41.758436534,-87.566361635
22249,HOMICIDE,42,2016,41.780155491,-87.586451255
23130,HOMICIDE,71,2017,41.741304411,-87.659690327
20829,HOMICIDE,43,2013,41.753141314,-87.555529125
20866,HOMICIDE,38,2013,41.808418076,-87.619567769
20871,HOMICIDE,68,2013,41.775172399,-87.645885129
20967,HOMICIDE,49,2013,41.697572939,-87.614720034
21023,HOMICIDE,43,2013,41.759958158,-87.56204421
21038,HOMICIDE,59,2013,41.82820471,-87.666679673
21080,HOMICIDE,51,2013,41.709193985,-87.565735011
21060,HOMICIDE,68,2013,41.777052285,-87.649571585
21165,HOMICIDE,56,2013,41.789786609,-87.785380558
21163,HOMICIDE,4,2013,41.969911966,-87.689341576
21169,HOMICIDE,46,2013,41.750018835,-87.558450905
21162,HOMICIDE,61,2013,41.814039965,-87.666885274
21175,HOMICIDE,77,2013,41.993071409,-87.660360074
21158,HOMICIDE,68,2013,41.78701723,-87.645505595
21179,HOMICIDE,25,2013,41.912629827,-87.76872782
21439,HOMICIDE,69,2014,41.762878839,-87.629712688
21432,HOMICIDE,29,2014,41.86422646,-87.71535996
21468,HOMICIDE,73,2014,41.718455708,-87.646786617
21450,HOMICIDE,38,2014,41.803123746,-87.609382682
21562,HOMICIDE,19,2014,41.927828776,-87.752501722
