the_geom.type,the_geom.coordinates,objectid,schoolid,school_nam,route_numb,shape_leng,shape_len
MultiLineString,,22,609808,HALEY,21,8937.94540904,5620.40667671
MultiLineString,,23,610223,WENTWORTH,22,7287.37422725,6622.04376251
MultiLineString,,24,610290,MAYS,23,6947.93257363,5612.30985562
MultiLineString,,25,609793,NICHOLSON TECH ACAD,24,7741.57995927,7741.57996981
MultiLineString,,26,610153,RYDER,25,8996.76665703,8996.76664734
MultiLineString,,27,609791,BASS,26,6296.46774279,6296.4677264
MultiLineString,,28,609897,EARLE,27,6305.23015021,7629.50446345
MultiLineString,,31,610251,CATHER,30,4984.7247637,3322.39085114
MultiLineString,,32,610252,DETT,31,7817.67086637,5814.34690522
MultiLineString,,34,610055,FARADAY,33,1964.03494412,1964.03491802
MultiLineString,,35,609985,HEFFERAN,34,3628.36726156,3628.36728781
MultiLineString,,36,610293,MELODY,35,4636.68108577,4637.01870862
MultiLineString,,37,610202,TILTON,36,4138.57444382,2803.55678114
MultiLineString,,38,609854,CHOPIN,37,6362.34816924,5361.15588273
MultiLineString,,39,610107,OTIS,38,4072.16858277,4072.16857287
MultiLineString,,40,610274,JOHNSON,39,7082.88858431,6088.32070455
MultiLineString,,41,610133,"WARD, L",40,6009.9955046,6009.99550765
MultiLineString,,42,610313,DIEGO,41,4655.33968215,4321.59386332
MultiLineString,,43,610276,MOLLISON,42,7952.53593173,7952.5359264
MultiLineString,,44,610305,LELAND,43,4433.60614236,4433.60613069
MultiLineString,,45,610213,WADSWORTH,44,7313.0520835,6408.03422552
MultiLineString,,46,609821,BURNHAM,45,5590.17511231,5590.17512917
MultiLineString,,50,610024,CARDENAS/CASTELLANOS,50,7267.50934381,9958.04973823
MultiLineString,,52,610367,DE PRIEST,52,7122.47571095,5869.13724997
MultiLineString,,54,610005,"HUGHES, C",54,3329.21275569,2664.56354011
MultiLineString,,55,609894,DRAKE,55,17337.1808395,14051.9331036
MultiLineString,,56,610126,PERSHING,56,8636.63865301,8636.63863085
MultiLineString,,59,610271,JENSEN,28,8262.58190712,8028.33670031
MultiLineString,,62,609954,GREGORY,29,5108.44702648,5108.44702994
MultiLineString,,70,610070,MCPHERSON,58,169.52733794,169.527372971
MultiLineString,,77,609904,ELLINGTON,51,6309.59644319,6309.5964589
MultiLineString,,235,610257,MORTON,49,9292.06829092,9292.06830969
MultiLineString,,236,610110,"WELLS, I",57,2180.11900403,2180.11901186
MultiLineString,,238,610269,MCCUTCHEON,59,200.92519878,200.925216133
MultiLineString,,1,609852,CHAPPELL,46,7315.88977904,7315.88977443
MultiLineString,,3,609919,FISKE,2,5318.49265328,5318.49263644
MultiLineString,,4,609943,GOMPERS,3,2600.87769432,2600.87768388
MultiLineString,,5,610173,SHERWOOD,4,7248.48154142,7248.48152109
MultiLineString,,6,610368,"HUGHES, L",5,3955.76883668,3955.76883618
MultiLineString,,7,610004,CULLEN,6,3330.19681069,3330.19681703
MultiLineString,,9,609955,GRESHAM,8,6641.04363407,6630.02500602
MultiLineString,,10,610051,NORTHWEST,9,11724.5266489,11121.5083415
MultiLineString,,11,610321,"MARSHALL, T",10,2658.72886018,2658.72886263
MultiLineString,,12,610146,REVERE,11,2288.49774216,2288.49775093
MultiLineString,,13,610108,O'TOOLE,12,6925.23203,6925.23205312
MultiLineString,,14,609900,CURTIS,13,5984.63196526,5984.63197338
MultiLineString,,17,609971,HARVARD,16,7970.63808954,6660.66245804
MultiLineString,,18,610530,SOUTHSHORE,17,1746.42646278,1746.426455
MultiLineString,,19,610242,BRENNEMANN,18,7667.4210221,8978.74216922
MultiLineString,,20,610355,COURTENAY,19,6923.01477119,6923.01478955
MultiLineString,,8,610208,LAVIZZO,7,7930.79922959,7262.04912386
MultiLineString,,2,610263,DULLES,1,9956.11218014,7069.71000327
