the_geom.type,the_geom.coordinates,buff_dist,shape_le_2,schoolname,school_id,route_num,in_out,type,shape_area,shape_len
MultiPolygon,,660.0,0.0,SHERWOOD,610173,4,IN,ES,9081590.88826,15134.531617
MultiPolygon,,660.0,0.0,"HUGHES, L",610368,5,IN,ES,6401306.34189,11489.698932
MultiPolygon,,660.0,0.0,NORTHWEST,610051,9,IN,ES,15683665.2262,25329.159421
MultiPolygon,,660.0,0.0,"MARSHALL, T",610321,10,IN,ES,4501889.8387,8326.77175
MultiPolygon,,660.0,0.0,REVERE,610146,11,IN,ES,4032089.65884,7733.784505
MultiPolygon,,660.0,0.0,HALEY,609808,21,IN,ES,8598878.23236,14819.801062
MultiPolygon,,660.0,0.0,WENTWORTH,610223,22,IN,ES,9735270.95462,16258.595639
MultiPolygon,,660.0,0.0,MAYS,610290,23,IN,ES,7151249.98868,10686.510683
MultiPolygon,,660.0,0.0,NICHOLSON TECH ACAD,609793,24,IN,ES,11211335.6122,18494.085868
MultiPolygon,,660.0,0.0,RYDER,610153,25,IN,ES,8153391.19397,12178.543336
MultiPolygon,,660.0,0.0,BASS,609791,26,IN,ES,9323011.73344,15752.121264
MultiPolygon,,660.0,0.0,EARLE,609897,27,IN,ES,11155925.0171,18551.546161
MultiPolygon,,660.0,0.0,DE PRIEST,610367,52,IN,ES,7625540.16871,11202.51924
MultiPolygon,,660.0,0.0,DRAKE,609894,55,IN,ES,12681696.1481,20115.827844
MultiPolygon,,660.0,0.0,PERSHING,610126,56,IN,ES,9206670.24593,14990.121997
MultiPolygon,,660.0,0.0,JENSEN,610271,28,IN,ES,10771293.1601,14576.340612
MultiPolygon,,660.0,0.0,CARDENAS/CASTELLANOS,610024,50,IN,ES,8748596.58453,13204.382962
MultiPolygon,,660.0,0.0,GREGORY,609954,29,IN,ES,8110599.84162,14363.012576
MultiPolygon,,660.0,0.0,ELLINGTON,609904,51,IN,ES,6855001.80851,10780.026365
MultiPolygon,,660.0,0.0,BURNHAM,609821,45,IN,ES,10677363.1127,21557.227156
MultiPolygon,,660.0,0.0,MORTON,610257,49,IN,ES,13257922.913,21596.172543
MultiPolygon,,660.0,0.0,"WELLS, I",610110,57,IN,ES,4329736.9228,7841.730735
MultiPolygon,,660.0,0.0,CHAPPELL,609852,46,IN,ES,10929758.0782,18491.802901
MultiPolygon,,660.0,0.0,DULLES,610263,1,IN,ES,8576887.2277,12342.810751
MultiPolygon,,660.0,0.0,FISKE,609919,2,IN,ES,7369791.93899,11750.372174
MultiPolygon,,660.0,0.0,GOMPERS,609943,3,IN,ES,4800629.34081,9347.894427
MultiPolygon,,660.0,0.0,O'TOOLE,610108,12,IN,ES,10152237.5976,17005.880833
MultiPolygon,,660.0,0.0,CURTIS,609900,13,IN,ES,8212317.50379,12880.935428
MultiPolygon,,660.0,0.0,CULLEN,610004,6,IN,ES,5482449.5107,9956.525882
MultiPolygon,,660.0,0.0,DETT,610252,31,IN,ES,7031697.18268,10252.262859
MultiPolygon,,660.0,0.0,TILTON,610202,36,IN,ES,4974711.87281,9489.35838
MultiPolygon,,660.0,0.0,MARINE ACAD AT AMES,609780,67,IN,ES,4254354.15544,8337.009846
