the_geom.type,the_geom.coordinates,schoolid,school_nam,rt_num,sch_year
MultiLineString,,609791,BASS,26,2015-2016
MultiLineString,,609808,HALEY,21,2015-2016
MultiLineString,,610223,WENTWORTH,22,2015-2016
MultiLineString,,610290,MAYS,23,2015-2016
MultiLineString,,609793,NICHOLSON TECH ACAD,24,2015-2016
MultiLineString,,610153,RYDER,25,2015-2016
MultiLineString,,609897,EARLE,27,2015-2016
MultiLineString,,610251,CATHER,30,2015-2016
MultiLineString,,610252,DETT,31,2015-2016
MultiLineString,,610055,FARADAY,33,2015-2016
MultiLineString,,609985,HEFFERAN,34,2015-2016
MultiLineString,,610293,MELODY,35,2015-2016
MultiLineString,,610202,TILTON,36,2015-2016
MultiLineString,,609854,CHOPIN,37,2015-2016
MultiLineString,,610107,OTIS,38,2015-2016
MultiLineString,,610274,JOHNSON,39,2015-2016
MultiLineString,,610133,"WARD, L",40,2015-2016
MultiLineString,,610313,DIEGO,41,2015-2016
MultiLineString,,610276,MOLLISON,42,2015-2016
MultiLineString,,610305,LELAND,43,2015-2016
MultiLineString,,610213,WADSWORTH,44,2015-2016
MultiLineString,,609821,BURNHAM,45,2015-2016
MultiLineString,,610024,CARDENAS/CASTELLANOS,50,2015-2016
MultiLineString,,610367,DE PRIEST,52,2015-2016
MultiLineString,,610005,"HUGHES, C",54,2015-2016
MultiLineString,,609894,DRAKE,55,2015-2016
MultiLineString,,610126,PERSHING,56,2015-2016
MultiLineString,,610271,JENSEN,28,2015-2016
MultiLineString,,609954,GREGORY,29,2015-2016
MultiLineString,,610070,MCPHERSON,58,2015-2016
MultiLineString,,609904,ELLINGTON,51,2015-2016
MultiLineString,,610257,MORTON,49,2015-2016
MultiLineString,,610110,"WELLS, I",57,2015-2016
MultiLineString,,609852,CHAPPELL,46,2015-2016
MultiLineString,,610263,DULLES,1,2015-2016
MultiLineString,,609919,FISKE,2,2015-2016
MultiLineString,,609943,OWENS,3,2015-2016
MultiLineString,,610173,SHERWOOD,4,2015-2016
MultiLineString,,610368,"HUGHES, L",5,2015-2016
MultiLineString,,609955,GRESHAM,8,2015-2016
MultiLineString,,610051,NORTHWEST,9,2015-2016
MultiLineString,,610321,"MARSHALL, T",10,2015-2016
MultiLineString,,610146,REVERE,11,2015-2016
MultiLineString,,610108,OTOOLE,12,2015-2016
MultiLineString,,609900,CURTIS,13,2015-2016
MultiLineString,,609971,HARVARD,16,2015-2016
MultiLineString,,610530,SOUTH SHORE,17,2015-2016
MultiLineString,,610242,BRENNEMANN,18,2015-2016
MultiLineString,,610355,COURTENAY,19,2015-2016
MultiLineString,,610208,LAVIZZO,7,2015-2016
MultiLineString,,610004,CULLEN,6,2015-2016
MultiLineString,,609780,MARINE ACAD AT AMES,67,2015-2016
MultiLineString,,400105,URBAN PREP CHTR BRONZEVILLE,72,2015-2016
MultiLineString,,609969,HARTE,62,2015-2016
MultiLineString,,609991,HERZL,63,2015-2016
MultiLineString,,609716,KELVYN PARK HS,64,2015-2016
MultiLineString,,400022,CHI ARTS,60,2015-2016
MultiLineString,,609968,MCAULIFFE,69,2015-2016
MultiLineString,,610123,PENN,71,2015-2016
MultiLineString,,609873,CROWN,61,2015-2016
MultiLineString,,609869,LANGFORD,65,2015-2016
MultiLineString,,610034,LAWNDALE,66,2015-2016
MultiLineString,,610056,MASON,68,2015-2016
MultiLineString,,609902,METCALFE,70,2015-2016
MultiLineString,,609674,CHICAGO VOCATIONAL HS,77,2015-2016
MultiLineString,,609736,DYETT HS,84,2015-2016
MultiLineString,,609740,WELLS HS,108,2015-2016
MultiLineString,,609712,HIRSCH HS,90,2015-2016
MultiLineString,,609762,JULIAN HS,93,2015-2016
MultiLineString,,609735,TILDEN HS,107,2015-2016
MultiLineString,,609709,GAGE PARK HS,87,2015-2016
MultiLineString,,609722,MANLEY HS,96,2015-2016
MultiLineString,,609723,MARSHALL HS,97,2015-2016
MultiLineString,,610389,ORR HS,100,2015-2016
MultiLineString,,610547,SOUTH SHORE INTL HS,105,2015-2016
MultiLineString,,609761,CORLISS HS,80,2015-2016
MultiLineString,,609725,MORGAN PARK HS,98,2015-2016
MultiLineString,,609707,ROBESON HS,103,2015-2016
MultiLineString,,610323,BOWEN HS,76,2015-2016
MultiLineString,,609759,CLEMENTE HS,79,2015-2016
MultiLineString,,609702,CRANE HS,81,2015-2016
MultiLineString,,609705,FENGER HS,86,2015-2016
MultiLineString,,609710,HARLAN HS,88,2015-2016
MultiLineString,,609711,HARPER HS,89,2015-2016
MultiLineString,,609713,HYDE PARK HS,92,2015-2016
MultiLineString,,609676,DUNBAR HS,83,2015-2016
MultiLineString,,610501,AUSTIN POLY HS,73,2015-2016
MultiLineString,,610244,CLARK HS,78,2015-2016
MultiLineString,,609715,KELLY HS,94,2015-2016
MultiLineString,,609692,SIMEON HS,104,2015-2016
MultiLineString,,610506,TEAM HS,106,2015-2016
MultiLineString,,609682,RICHARDS HS,102,2015-2016
MultiLineString,,609768,HOPE PREP HS,91,2015-2016
MultiLineString,,610385,MULTICULTURAL ACAD SCHOLARSHIP,99,2015-2016
MultiLineString,,609746,KENWOOD HS,95,2015-2016
MultiLineString,,609698,BOGAN HS,75,2015-2016
MultiLineString,,610563,BACK OF THE YARDS HS,74,2015-2016
MultiLineString,,610245,DOUGLASS HS,82,2015-2016
MultiLineString,,609704,FARRAGUT HS,85,2015-2016
MultiLineString,,609727,PHILLIPS HS,101,2015-2016
MultiLineString,,610269,MCCUTCHEON,59,2015-2016
MultiLineString,,610184,SPRY ES/SPRY HS/TELPOCHCALLI/SAUCEDO/HAMMOND,109,2015-2016
MultiLineString,,610513,AIR FORCE HS,110,2015-2016
MultiLineString,,610524,ALCOTT PREP HS,111,2015-2016
MultiLineString,,609790,BARTON,113,2015-2016
MultiLineString,,609726,BROOKS HS,115,2015-2016
MultiLineString,,609754,CHGO MILITARY ACAD HS,117,2015-2016
MultiLineString,,610347,CLAREMONT,118,2015-2016
MultiLineString,,609769,"GRAHAM,R HS",119,2015-2016
MultiLineString,,609964,HAMLINE/ CHAVEZ,120,2015-2016
MultiLineString,,609987,HENDRICKS,121,2015-2016
