rt_num,schoolid,school_nam,the_geom.type,the_geom.coordinates,shape_leng
26,609791,BASS,MultiLineString,,6956.04994897
21,609808,HALEY,MultiLineString,,6611.07797149
22,610223,WENTWORTH,MultiLineString,,7947.31159279
23,610290,MAYS,MultiLineString,,5612.31014367
24,609793,NICHOLSON TECH ACAD,MultiLineString,,6417.62212662
25,610153,RYDER,MultiLineString,,6370.24906122
30,610251,CATHER,MultiLineString,,3322.39070303
31,610252,DETT,MultiLineString,,5141.04535112
33,610055,FARADAY,MultiLineString,,4057.92651098
34,609985,HEFFERAN,MultiLineString,,3628.36714743
35,610293,MELODY,MultiLineString,,5611.93009833
37,609854,CHOPIN,MultiLineString,,4351.06064262
39,610274,JOHNSON,MultiLineString,,6088.32060348
40,610133,"WARD, L",MultiLineString,,6009.99539001
42,610276,MOLLISON,MultiLineString,,7952.53594698
43,610305,LELAND,MultiLineString,,4433.60612994
44,610213,WADSWORTH,MultiLineString,,6408.03432104
45,609821,BURNHAM,MultiLineString,,5590.17535795
50,610024,CARDENAS/ CASTELLANOS,MultiLineString,,8182.10970785
52,610367,DE PRIEST,MultiLineString,,4278.33680883
54,610005,"HUGHES, C",MultiLineString,,2998.49381927
55,609894,DRAKE,MultiLineString,,11399.7711074
56,610126,PERSHING,MultiLineString,,8636.63844556
28,610271,JENSEN,MultiLineString,,7033.60984883
29,609954,GREGORY,MultiLineString,,6104.82536685
51,609904,ELLINGTON,MultiLineString,,5529.90666453
49,610257,MORTON,MultiLineString,,5020.67474132
57,610110,"WELLS, I",MultiLineString,,3311.69369832
1,610263,DULLES,MultiLineString,,5278.75319752
2,609919,FISKE,MultiLineString,,5532.49679593
4,610173,SHERWOOD,MultiLineString,,7248.48154843
5,610368,"HUGHES, L",MultiLineString,,3955.76906359
8,609955,GRESHAM,MultiLineString,,4640.54067913
9,610051,NORTHWEST,MultiLineString,,7291.27308044
11,610146,REVERE,MultiLineString,,3280.52603575
12,610108,OTOOLE,MultiLineString,,5931.64685319
