the_geom.type,the_geom.coordinates,route_numb,school_nam,schoolid,rt_num,shape_leng
MultiLineString,,26,BASS,609791,26,6956.04994897
MultiLineString,,21,HALEY,609808,21,6611.07797149
MultiLineString,,22,WENTWORTH,610223,22,7947.31159279
MultiLineString,,23,MAYS,610290,23,5612.31014367
MultiLineString,,24,NICHOLSON,609793,24,6417.62212662
MultiLineString,,25,RYDER,610153,25,6370.24906122
MultiLineString,,27,EARLE,609897,27,5305.96226415
MultiLineString,,30,CATHER,610251,30,3322.39070303
MultiLineString,,31,DETT,610252,31,5141.04535112
MultiLineString,,33,FARADAY,610055,33,4057.92651098
MultiLineString,,34,HEFFERAN,609985,34,3628.36714743
MultiLineString,,35,MELODY,610293,35,5611.93009833
MultiLineString,,36,TILTON,610202,36,5125.79197329
MultiLineString,,37,CHOPIN,609854,37,4351.06064262
MultiLineString,,38,OTIS,610107,38,4070.04771995
MultiLineString,,39,JOHNSON,610274,39,6088.32060348
MultiLineString,,40,WARD L,610133,40,6009.99539001
MultiLineString,,41,DIEGO,610313,41,3660.21598031
MultiLineString,,42,MOLLISON,610276,42,7952.53594698
MultiLineString,,43,LELAND,610305,43,4433.60612994
MultiLineString,,44,WADSWORTH,610213,44,6408.03432104
MultiLineString,,45,BURNHAM,609821,45,5590.17535795
MultiLineString,,50,CARDENAS/CASTELLANOS,610024,50,8182.10970785
MultiLineString,,52,DEPRIEST,610367,52,4278.33680883
MultiLineString,,54,HUGHES C,610005,54,2998.49381927
MultiLineString,,55,DRAKE,609894,55,11399.7711074
MultiLineString,,56,PERSHING,610126,56,8636.63844556
MultiLineString,,28,JENSEN,610271,28,7033.60984883
MultiLineString,,29,GREGORY,609954,29,6104.82536685
MultiLineString,,58,MCPHERSON,610070,58,1073.47555777
MultiLineString,,51,ELLINGTON,609904,51,5529.90666453
MultiLineString,,49,MORTON,610257,49,5020.67474132
MultiLineString,,57,WELLS ES,610110,57,3311.69369832
MultiLineString,,46,CHAPPELL,609852,46,4659.61075954
MultiLineString,,1,DULLES,610263,1,5278.75319752
MultiLineString,,2,FISKE,609919,2,5532.49679593
MultiLineString,,3,OWENS,609943,3,2600.87770036
MultiLineString,,4,SHERWOOD,610173,4,7248.48154843
MultiLineString,,5,HUGHES L,610368,5,3955.76906359
MultiLineString,,8,GRESHAM,609955,8,4640.54067913
MultiLineString,,9,NORTHWEST,610051,9,7291.27308044
MultiLineString,,11,REVERE,610146,11,3280.52603575
MultiLineString,,12,OTOOLE,610108,12,5931.64685319
MultiLineString,,13,CURTIS,609900,13,5984.6319544
MultiLineString,,16,HARVARD,609971,16,6660.66226294
MultiLineString,,17,SOUTH SHORE,610530,17,2376.39349992
MultiLineString,,18,BRENNEMANN,610242,18,601.731099307
MultiLineString,,19,COURTENAY,610355,19,3926.94470129
MultiLineString,,7,LAVIZZO,610208,7,5948.35781101
MultiLineString,,6,CULLEN,610004,6,3330.19690746
MultiLineString,,67,MARINE LEADERSHIP AT AMES HS,609780,67,1389.01725816
MultiLineString,,72,URBAN PREP - BRONZEVILLE HS,400105,72,2710.56361345
MultiLineString,,62,HARTE,609969,62,1181.14542653
MultiLineString,,63,HERZL,609991,63,2408.74950643
MultiLineString,,64,KELVYN PARK HS,609716,64,6060.4097455
MultiLineString,,60,CHIARTS,400022,60,2859.04738226
MultiLineString,,69,MCAULIFFE,609968,69,2460.24210312
MultiLineString,,71,PENN,610123,71,5344.48024626
MultiLineString,,61,CROWN,609873,61,3309.09202589
MultiLineString,,65,LANGFORD,609869,65,5963.30659918
MultiLineString,,66,LAWNDALE,610034,66,4971.76063064
MultiLineString,,68,MASON,610056,68,4223.4452135
MultiLineString,,70,METCALFE,609902,70,6592.03469769
MultiLineString,,77,CHICAGO VOCATIONAL HS,609674,77,4459.32622666
MultiLineString,,84,DYETT ARTS HS,610587,84,8861.9502008
MultiLineString,,108,WELLS HS,609740,108,2650.84142027
